,Hourly Cost Months 1&2,Hourly Cost Months 3&4,Hourly Cost Months 5&6,Hourly Cost Months 7&8,Hourly Cost Months 9&10,Hourly CostMonths 11&12
0,298.3548273469355,99.14822206775915,19.142821207067737,113.69964557874195,27.614173057258057,187.11809914232256
1,273.28967167973275,101.42564638048817,-16.907305778254845,82.36191083125809,29.605138446150534,188.04107685922583
2,257.26647704621195,97.51128774583442,-19.64418335686452,73.94590676206451,22.970499643548383,156.85173626855914
3,279.653864956106,91.73658900607313,-14.37318537630323,67.91941577370969,19.658376515677418,161.45132438484944
4,254.7853244910968,87.7338577098355,-7.9206307282666675,65.05510864067742,26.01190136189247,134.14700805058064
5,248.42834527764978,114.0058217019957,20.13246012793548,89.5491822079355,87.17886888154838,116.28068295580644
6,314.3494823466774,165.3803581871226,50.47608638073118,152.57137159403226,141.0087181704516,180.0995032639355
7,552.859998954871,169.00604366071394,120.7092943648602,234.45406334864518,125.18496772029033,492.7760145438495
8,459.79801036866354,144.90155220642256,85.59966102640861,263.9735511922258,178.11930072630105,617.0441232611289
9,501.5528687462672,131.8282378516,65.22690733629032,284.32008081780646,174.6244462107097,460.26565529599986
10,519.4084658416036,138.91366075052474,73.25606085188171,314.10995846632255,173.9275646413763,355.7925034056882
11,446.49183996701385,109.82590704117848,57.84810708141936,312.34216386396776,141.77982310145163,345.5226562803871
12,397.7554274425575,96.40526205545159,74.86325015581721,316.85636911829033,148.47326315070967,320.283370170871
13,374.16715774767505,90.42481735912472,61.8668690670215,314.94646684335487,159.747508144,279.6393770454409
14,379.59381238382485,97.48339784946238,54.49982432933332,329.45658173999993,140.68109432139784,274.8332938315269
15,363.15404004727196,103.58575582622689,77.25285956352688,364.5716071338709,172.34647204448385,281.7346934324839
16,406.3748845508871,127.03599307192256,147.90729107094623,457.15597526351604,215.78431319561292,324.3868808767312
17,537.51905672203,127.92642638401612,137.72446455096772,388.51304979954836,223.9544827993333,409.81997010329025
18,490.613813732758,160.77250877021504,178.77045918568822,360.71194539377416,252.63159283583872,405.3989906247097
19,495.66449035043775,162.6505146426021,164.03878029050534,334.99764593048377,206.6277895549678,316.29959369930106
20,492.13338537991007,149.11823147648602,108.39530667415055,326.1299555795161,147.4598924503871,316.02400864952693
21,442.75088394903224,117.51682280888711,74.54163689212903,247.14333001954836,115.548289686,270.7493582539463
22,361.8656240828526,100.99875983948175,44.32734197704194,208.4225693814839,74.65796433403227,210.07873683612905
23,319.6431608959908,129.7585053131516,22.65959882987957,139.9516604907097,41.325076016053764,195.17643219416132
